title,link,authors,publication,citation_id
Drift Variances of F and Ger Statistics Obtained from a Finite Number of lsolated Populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:7Frjd3zlGBUC,"M NEI, A CHAKRAvARTI",,VxOmZDgAAAAJ:7Frjd3zlGBUC
Hidden genetic variability within and between electromorphs in finite populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:R-LXmdHK_14C,"M Nei, R Chakraborty",,VxOmZDgAAAAJ:R-LXmdHK_14C
STABLE LINKAGE DISEQUILIBRIUM WITHOUT EPISTASIS IN SUBDIVIDED POPULATIONS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Azgs6IHzeyYC,"H WEN, M NEI",,VxOmZDgAAAAJ:Azgs6IHzeyYC
FERTILITY EXCESS NECESSARY FOR GENE SUBSTITUTION IN REGULATED POPULATIONS1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:eH23hyXCXa4C,NE MASATOSHI,"Genetics 68, 169-184, 1971",VxOmZDgAAAAJ:eH23hyXCXa4C
Welcome to My Research! layer,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:c1AJUTjuCtUC,"Y Niimura, M Nei",,VxOmZDgAAAAJ:c1AJUTjuCtUC
Masatoshi Nei-Masatoshi Nei,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:tBlTYpvFGQIC,M Nei,,VxOmZDgAAAAJ:tBlTYpvFGQIC
in Large Populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:BJtnxTr0fRcC,NEI MASATosHI,,VxOmZDgAAAAJ:BJtnxTr0fRcC
Drift variances of heterozygosity and genetic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:idthP5jqfYAC,"LI WEN-HSIUNG, M NEI",,VxOmZDgAAAAJ:idthP5jqfYAC
The transient distribution of allele frequencies under mutation pressure,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:3A3nxV7CjKIC,NEI MASATOSHI,,VxOmZDgAAAAJ:3A3nxV7CjKIC
Non-random association between electromorphs and inversion chromosomes in finite populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:kUhpeDhEZMUC,NEI MASATOSHI,,VxOmZDgAAAAJ:kUhpeDhEZMUC
Masatoshi Nei,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:yeL6HyUMUGUC,"M Nei, M Nei",,VxOmZDgAAAAJ:yeL6HyUMUGUC
Section EVOLUTIONARY GENOMICS: Co-editor,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Y0-TYkg6YM4C,"T Gojobori, FG Alvarez-Valin, U Arnason, M Batzer, J Bertranpetit, Z Chen, ...",,VxOmZDgAAAAJ:Y0-TYkg6YM4C
EVOLUTIONARY EPISTEMOLOGY,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:cBPnxVikjH8C,"M Nei, S Kumar, P Oxford",,VxOmZDgAAAAJ:cBPnxVikjH8C
Section EVOLUTIONARY GENOMICS Section FUNCTIONAL GENOMICS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:orDZ08hpP44C,"T Gojobori, G Bernardi, F Ayala, D Hartl, M Nei, E Zuckerkandl, ...",,VxOmZDgAAAAJ:orDZ08hpP44C
Interior-branch and bootstrap tests of phylogenetic trees,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:PQEM9vzQD9gC,"A Rzhetsky, M Nei",,VxOmZDgAAAAJ:PQEM9vzQD9gC
Section EVOLUTIONARY GENOMICS: Section FUNCTIONAL GENOMICS: Co-editor,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ymY9cBF3mdcC,"T Gojobori, G Bernardi, F Ayala, D Hartl, M Nei, E Zuckerkandl, ...",,VxOmZDgAAAAJ:ymY9cBF3mdcC
THEORETICAL POPULATION,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:dAp6zn-oMfAC,"K Dietz, S Karlin, T Schoener, J Roughgarden, A Templeton, P Abrams, ...",,VxOmZDgAAAAJ:dAp6zn-oMfAC
"BULMER, MG, 187",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Ic1VZgkJnDsC,"PM BURROWS, RM CAPOCELLI, LL CAVALLI-SFORZA, ...",,VxOmZDgAAAAJ:Ic1VZgkJnDsC
THEORETICAL POPULATION BIOLOGY,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:c_xDhezhKKUC,"CC Cockerham, K Dietz, S Karlin, RW Hiorns, T Schoener, ...",,VxOmZDgAAAAJ:c_xDhezhKKUC
THEORETICAL POPULATION,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:37UQlXuwjP4C,"JF Crow, N Keyfitz, NTJ Bailey, W Bodmer, J Bourgeois-Pichat, ...",,VxOmZDgAAAAJ:37UQlXuwjP4C
THEORETICAL POPULATION,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:lYAcb2jw7qUC,"CC Cockerham, K Dietz, S Karlin, RW Hiorns, T Schoener, NTJ Bailey, ...",,VxOmZDgAAAAJ:lYAcb2jw7qUC
Polymorphism and Evolution of Inﬂuenza A Virus Genes ‘,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:nqdriD65xNoC,"N Saitou, M Nei",,VxOmZDgAAAAJ:nqdriD65xNoC
Interpretation of FOREL clusters,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:LGlY6t8CeOMC,"S Kumar, K Tamura, IB Jakobsen, M Nei",,VxOmZDgAAAAJ:LGlY6t8CeOMC
Sewall Wright's view on the role of genetic drift in evolution is,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:D_tqNUsBuKoC,M Nei,,VxOmZDgAAAAJ:D_tqNUsBuKoC
Institute of Molecular Evolutionary Genetics and Department of Biology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:L_l9e5I586QC,M Nei,,VxOmZDgAAAAJ:L_l9e5I586QC
Polymorphism and the,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:C33y2ycGS3YC,"M NEI, DAN GRAUR",,VxOmZDgAAAAJ:C33y2ycGS3YC
A Note on Positive Identification of Paternity by Using,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:eGYfIraVYiQC,"PP Majumder, M Nei",,VxOmZDgAAAAJ:eGYfIraVYiQC
"Fumio Tajimo, ond Takashi Gojobori",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:kJDgFkosVoMC,M Nei,,VxOmZDgAAAAJ:kJDgFkosVoMC
"Center for Demographic and Population Genetics, University of Texas at Houston, Texas 77025, USA",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:zdjWy_NXXwUC,M NEI,,VxOmZDgAAAAJ:zdjWy_NXXwUC
"maximum parsimony method. Nevertheless, it is a useful method for obtaining a rough idea",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:27LrP4qxOz0C,"ROFP TREES, M Nei, A Rzhetsky",,VxOmZDgAAAAJ:27LrP4qxOz0C
Genetic Distance and Electrophoretic ldentity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:-DxkuPiZhfEC,"M Nei, R Chakraborty",,VxOmZDgAAAAJ:-DxkuPiZhfEC
PHYLOGENETIC ANALYSIS IN MOLECULAR EVOLUTIONARY,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=400&pagesize=100&citation_for_view=VxOmZDgAAAAJ:CYCckWUYoCcC,M Nei,,VxOmZDgAAAAJ:CYCckWUYoCcC
